"order_no","ro_no","ro_date","invoice_date","invoice_no","outlet_code","outlet_name","emp_code","emp_name","sup_code","sup_name","pro_code","pro_name","largest_unit","middle_unit","small_unit","largest_system_price","middle_system_price","small_system_price","final_largest_selling_price","final_middle_selling_price","final_small_selling_price","largest_qty_order","middle_qty_order","smallest_qty_order","promotion_value","discount_value","vat_value","gross_price","net_sales"
,SO2603040004,2026-03-04,,,L000029,LOLLY 29,SLS009,Ridwan,"1009",PT Downy Indonesia,D000018,DOWNY Aroma Kenanga REF 300 MLX120,CRT/12,LSN/10,PCS/1,660000,66000,5500,660000.0000,66000.0000,5500.0000,7.0,0.0,0.0,0.0000,0.0000,508200.0000,4620000.0,4620000.0
PO26031020251202040002,SO2603100009,2026-03-10,2026-03-11,INV2603110028,"1234567890",toko jan,"2025120204",Yogie Setya,"010001",PT YUPI INDONESIA,"01002",VAPE ULTRA MAT 45 LVNDR 36 PCS,KRT/36,KRT/1,PCS/1,316800,316800,8800,316800.0000,316800.0000,8800.0000,1.0,0.0,0.0,0.0000,0.0000,34848.0000,316800.0,316800.0
,SO2603040005,2026-03-04,2026-03-04,INV2603040006,D000242,DODY 242,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0032,Action Figure Ronaldo,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,1250000.0000,750000.0000,150000.0000,2.0,0.0,0.0,0.0000,125000.0000,261250.0000,2500000.0,2375000.0
,SO2603100015,2026-03-10,,,P00023Ar,Princes 10,"2025120201",Ilham Abdullah,YP001,PT YUPI INDONESIA,YP5219,YP513 YUPI MINI BURGER,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,500000.0000,4.0,0.0,0.0,0.0000,0.0000,33000.0000,300000.0,300000.0
,SO2603100016,2026-03-10,2026-03-10,INV2603100006,P00023Ar,Princes 10,"2025120201",Ilham Abdullah,YP001,PT YUPI INDONESIA,YP5219,YP513 YUPI MINI BURGER,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,500000.0000,4.0,0.0,0.0,0.0000,0.0000,33000.0000,300000.0,300000.0
PO260304DR01230001,SO2603040006,2026-03-04,2026-03-04,INV2603040005,"242502",Lovi Mart,DR0123,Dicky Ramdhan,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26031030122410002,SO2603100011,2026-03-10,2026-03-11,INV2603110012,B000480,BOEDY 480,"3012241",Charles Leclerc,"1000",PT YUPI INDONESIA,"02001",PIATOS BBQ 14GR/60,KRT/20,PCK/3,PCS/1,50860,16953,848,0.0000,0.0000,0.0000,0.0,0.0,9.0,0.0000,0.0000,840.0000,0.0,0.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0032,Action Figure Ronaldo,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,1250000.0000,1000000.0000,300000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26031030122410001,SO2603100010,2026-03-10,2026-03-11,INV2603110013,B000479,BOEDY 479,"3012241",Charles Leclerc,"999",PT YUPI INDONESIA,S000001,ABC Battery Baterai Biru AA R-06 1pack X 4pcs,CRT/4,PCK/72,PCS/1,1008000,14000,3500,0.0000,0.0000,0.0000,0.0,0.0,3.0,0.0000,0.0000,1155.0000,0.0,0.0
PO26030430122410002,SO2603040002,2026-03-04,2026-03-04,INV2603040004,"1234567890",toko jan,"3012241",Charles Leclerc,"010001",PT YUPI INDONESIA,"01001",VAEROSOL LAVENDER 750ML 12 KL,KRT/12,KRT/1,KLG/1,455556,455556,36151,455556.0000,455556.0000,36151.0000,10.0,0.0,0.0,0.0000,0.0000,501112.0000,4555560.0,4555560.0
,SO2603110001,2026-03-11,,,CR0001,Outlet Validasi Credit Limit Not Set,BDG001,Nyeck Nyobe,MT001,Mainan Toys,AF-0040,Action Figure Pep Guardiola,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,1.0,0.0000,0.0000,22000.0000,200000.0,200000.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,1500000.0000,1000000.0000,500000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603110001,2026-03-11,,,CR0001,Outlet Validasi Credit Limit Not Set,BDG001,Nyeck Nyobe,MT001,Mainan Toys,AF-0039,Action Figure Koch Justin,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,2.0,0.0000,0.0000,0.0000,2400000.0,2400000.0
PO26030430122410002,SO2603040002,2026-03-04,2026-03-04,INV2603040004,"1234567890",toko jan,"3012241",Charles Leclerc,"010001",PT YUPI INDONESIA,"01002",VAPE ULTRA MAT 45 LVNDR 36 PCS,KRT/36,KRT/1,PCS/1,316800,316800,8800,316800.0000,316800.0000,8800.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603110002,2026-03-11,,,CR0001,Outlet Validasi Credit Limit Not Set,BDG001,Nyeck Nyobe,MT001,Mainan Toys,AF-0039,Action Figure Koch Justin,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,2.0,0.0000,0.0000,0.0000,400000.0,400000.0
,SO2603110002,2026-03-11,,,CR0001,Outlet Validasi Credit Limit Not Set,BDG001,Nyeck Nyobe,MT001,Mainan Toys,AF-0036,Action Figure Carrick,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,0.0000,0.0000,220000.0000,2000000.0,2000000.0
PO26031120251202040001,SO2603110003,2026-03-11,,,"09845",Toko Abadi Membumi,"2025120204",Yogie Setya,"010001",PT YUPI INDONESIA,"01001",VAEROSOL LAVENDER 750ML 12 KL,KRT/12,KRT/1,KLG/1,455556,455556,36151,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26030430122410002,SO2603040002,2026-03-04,2026-03-04,INV2603040004,"1234567890",toko jan,"3012241",Charles Leclerc,YP001,PT YUPI INDONESIA,YP5218,YUPI ROLETTO BOX 12X24X6GR,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,23000.0000,0.0,0.0,0.0,0.0000,0.0000,0,0.0,0.0
PO26031120251202040002,SO2603110004,2026-03-11,2026-03-11,INV2603110017,"09845",Toko Abadi Membumi,"2025120204",Yogie Setya,MT001,Mainan Toys,AF-0001,Action Figure Superman,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26030430122410002,SO2603040002,2026-03-04,2026-03-04,INV2603040004,"1234567890",toko jan,"3012241",Charles Leclerc,"010001",PT YUPI INDONESIA,"01002",VAPE ULTRA MAT 45 LVNDR 36 PCS,KRT/36,KRT/1,PCS/1,316800,316800,8800,316800.0000,316800.0000,8800.0000,2.0,0.0,0.0,0.0000,0.0000,0.0000,633600.0,633600.0
PO26030430122410002,SO2603040002,2026-03-04,2026-03-04,INV2603040004,"1234567890",toko jan,"3012241",Charles Leclerc,YP001,PT YUPI INDONESIA,YP5218,YUPI ROLETTO BOX 12X24X6GR,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,23000.0000,2.0,0.0,0.0,0.0000,0.0000,0,150000.0,150000.0
PO26031130122410001,SO2603110005,2026-03-11,2026-03-12,INV2603120003,"0019",Babeh TK,"3012241",Charles Leclerc,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,0.0000,0.0000,0.0000,0.0,0.0,5.0,0.0000,0.0000,2296.0000,0.0,0.0
PO26031130122410002,SO2603110006,2026-03-11,2026-03-12,INV2603120002,B000010,BOEDY 10,"3012241",Charles Leclerc,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,0.0000,0.0000,0.0000,0.0,0.0,10.0,0.0000,0.0000,4593.0000,0.0,0.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0032,Action Figure Ronaldo,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26031130122410003,SO2603110007,2026-03-11,2026-03-12,INV2603120001,B000011,BOEDY 11,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0002,Action Figure Batman,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,0.0000,0.0000,0.0000,0.0,0.0,2.0,0.0000,20000.0000,41800.0000,0.0,-20000.0
PO260311SLS010001,SO2603110008,2026-03-11,2026-03-11,INV2603110036,SR456781,sumber rejeki,SLS01,Jeddy,"1000",PT YUPI INDONESIA,"02005",DYNAMITE MINT CHOCO 55S/20,KRT/20,KRT/1,PCS/1,83500,83500,4175,83500.0000,83500.0000,4175.0000,1.0,0.0,0.0,0.0000,0.0000,9185.0000,83500.0,83500.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO260311SLS010001,SO2603110008,2026-03-11,2026-03-11,INV2603110036,SR456781,sumber rejeki,SLS01,Jeddy,"1000",PT YUPI INDONESIA,FF-0101-0040,Cavendish Hand,CRT/12,CRT/1,PNCH/1,310000,210000,110000,210000.0000,210000.0000,110000.0000,1.0,0.0,0.0,0.0000,0.0000,25200.0000,210000.0,210000.0
PO260311SLS010001,SO2603110008,2026-03-11,2026-03-11,INV2603110036,SR456781,sumber rejeki,SLS01,Jeddy,"999",PT YUPI INDONESIA,S000001,ABC Battery Baterai Biru AA R-06 1pack X 4pcs,CRT/4,PCK/72,PCS/1,1008000,14000,3500,750000.0000,14000.0000,3500.0000,1.0,0.0,0.0,0.0000,0.0000,82500.0000,750000.0,750000.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0032,Action Figure Ronaldo,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,0.0000,100000.0000,0.0000,2000000.0,1900000.0
PO260311SLS010002,SO2603110009,2026-03-11,2026-03-11,INV2603110035,"0019",Babeh TK,SLS01,Jeddy,YP001,PT YUPI INDONESIA,YP5219,YP513 YUPI MINI BURGER,KRT/50,KRT/1,KLG/1,75000,800000,23000,800000.0000,800000.0000,23000.0000,1.0,0.0,0.0,0.0000,0.0000,88000.0000,800000.0,800000.0
PO260311SLS010002,SO2603110009,2026-03-11,2026-03-11,INV2603110035,"0019",Babeh TK,SLS01,Jeddy,YP001,PT YUPI INDONESIA,YP5218,YUPI ROLETTO BOX 12X24X6GR,KRT/50,KRT/1,KLG/1,75000,800000,23000,800000.0000,800000.0000,23000.0000,2.0,0.0,0.0,0.0000,0.0000,176000.0000,1600000.0,1600000.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO260311SLS010003,SO2603110010,2026-03-11,2026-03-11,INV2603110034,TA0001,Toko Alam Berkah,SLS01,Jeddy,MT001,Mainan Toys,AF-0006,Action Figure Thor,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,0.0000,0.0000,220000.0000,2000000.0,2000000.0
PO26030430122410001,SO2603040009,2026-03-04,2026-03-04,INV2603040011,"0019",Babeh TK,"3012241",Charles Leclerc,"02001",PT URC,"020081",ROLLER COASTER BBQ 70GR/30,KRT/1,PCS/30,PCS/1,78811,2627,2627,78811.0000,2627.0000,2627.0000,2.0,0.0,0.0,0.0000,0.0000,17338.0000,157622.0,157622.0
PO26030430122410001,SO2603040009,2026-03-04,2026-03-04,INV2603040011,"0019",Babeh TK,"3012241",Charles Leclerc,"10000",PT. Jengky Indonesia,FF-0101-0004,Cavendish C3,CRT/12,CRT/1,PNCH/1,310000,210000,110000,210000.0000,210000.0000,110000.0000,2.0,0.0,0.0,0.0000,0.0000,50400.0000,420000.0,420000.0
PO26030430122410001,SO2603040009,2026-03-04,2026-03-04,INV2603040011,"0019",Babeh TK,"3012241",Charles Leclerc,"10000",PT. Jengky Indonesia,FF-0101-0004,Cavendish C3,CRT/12,CRT/1,PNCH/1,310000,210000,110000,210000.0000,210000.0000,110000.0000,2.0,0.0,0.0,0.0000,0.0000,50400.0000,420000.0,420000.0
PO26030430122410003,SO2603040008,2026-03-04,2026-03-04,INV2603040012,"0019",Babeh TK,"3012241",Charles Leclerc,"02001",PT URC,"020081",ROLLER COASTER BBQ 70GR/30,KRT/1,PCS/30,PCS/1,78811,2627,2627,78811.0000,2627.0000,2627.0000,2.0,0.0,0.0,0.0000,0.0000,17338.0000,157622.0,157622.0
PO26030430122410003,SO2603040008,2026-03-04,2026-03-04,INV2603040012,"0019",Babeh TK,"3012241",Charles Leclerc,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,83500.0000,83500.0000,4175.0000,2.0,0.0,0.0,0.0000,0.0000,18370.0000,167000.0,167000.0
,SO2603110011,2026-03-11,2026-03-11,INV2603110025,"0019",Babeh TK,"2025120204",Yogie Setya,MT001,Mainan Toys,AF-0002,Action Figure Batman,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,0.0000,0.0000,220000.0000,2000000.0,2000000.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603110012,2026-03-11,2026-03-11,INV2603110024,"09845",Toko Abadi Membumi,"2025120204",Yogie Setya,MT001,Mainan Toys,AF-0002,Action Figure Batman,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,2.0,0.0,0.0,0.0000,0.0000,440000.0000,4000000.0,4000000.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26031230122410001,SO2603120001,2026-03-12,,,B000010,BOEDY 10,"3012241",Charles Leclerc,"1000",PT YUPI INDONESIA,"02001",PIATOS BBQ 14GR/60,KRT/20,PCK/3,PCS/1,50860,16953,848,0.0000,0.0000,0.0000,0.0,0.0,12.0,0.0000,0.0000,1119.0000,0.0,0.0
PO26031230122410001,SO2603120001,2026-03-12,,,B000010,BOEDY 10,"3012241",Charles Leclerc,"010001",PT YUPI INDONESIA,"01004",VAPE 0031 DIME STANDAR,KRT/60,KRT/1,PCS/1,165000,165000,2750,0.0000,0.0000,0.0000,0.0,0.0,12.0,0.0000,0.0000,3630.0000,0.0,0.0
PO26031230122410001,SO2603120001,2026-03-12,,,B000010,BOEDY 10,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0001,Action Figure Superman,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,0.0000,0.0000,0.0000,0.0,0.0,2.0,0.0000,20000.0000,0.0000,0.0,-20000.0
PO26031230122410001,SO2603120001,2026-03-12,,,B000010,BOEDY 10,"3012241",Charles Leclerc,A12,PT YUPI INDONESIA,GRM0001,Sunpride - Golden Red Melon [per pcs],KRT/10,BOX/10,PCS/1,5800000,580000,58000,0.0000,0.0000,0.0000,0.0,5.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26031230122410001,SO2603120002,2026-03-12,2026-03-12,INV2603120004,"09845",Toko Abadi Membumi,"3012241",Charles Leclerc,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,0.0000,0.0000,0.0000,5.0,0.0,0.0,0.0000,0.0000,45925.0000,0.0,0.0
,SO2603040007,2026-03-04,,,D000241,DODY 241,AD003,Ady Nugroho,MT001,Mainan Toys,AF-0033,Action Figure Messi,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,0.0,0.0,0.0,0.0000,0.0000,0,0.0,0.0
PO26031230122410001,SO2603120003,2026-03-12,2026-03-12,INV2603120005,B000003,BOEDY 3,"3012241",Charles Leclerc,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,0.0000,0.0000,0.0000,3.0,0.0,0.0,0.0000,0.0000,27555.0000,0.0,0.0
PO26030430122410004,SO2603040010,2026-03-04,2026-03-04,INV2603040013,"20251225",TOKO SSS,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0002,Action Figure Batman,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603120004,2026-03-12,,,"0019",Babeh TK,SLS01,Jeddy,"1009",PT Downy Indonesia,D000017,DOWNY Aroma Jasmine REF 300 MLX120,CRT/12,LSN/10,PCS/1,660000,66000,5500,660000.0000,66000.0000,5500.0000,1.0,0.0,0.0,0.0000,0.0000,72600.0000,660000.0,660000.0
,SO2603120004,2026-03-12,,,"0019",Babeh TK,SLS01,Jeddy,"1009",PT Downy Indonesia,D000015,DOWNY MYSTQUE REF 850 MLX12,CRT/12,CRT/1,PNCH/1,464325,464325,38694,464325.0000,464325.0000,38694.0000,1.0,0.0,0.0,0.0000,0.0000,51076.0000,464325.0,464325.0
,SO2603120004,2026-03-12,,,"0019",Babeh TK,SLS01,Jeddy,"1009",PT Downy Indonesia,D000016,DOWNY Aroma Mawa REF 300 MLX120,CRT/12,LSN/10,PCS/1,660000,66000,5500,660000.0000,66000.0000,5500.0000,1.0,0.0,0.0,0.0000,0.0000,72600.0000,660000.0,660000.0
PO26030430122410005,SO2603040011,2026-03-04,2026-03-04,INV2603040014,"202512251",Sss mobile,"3012241",Charles Leclerc,"10000",PT. Jengky Indonesia,FF-0101-0004,Cavendish C3,CRT/12,CRT/1,PNCH/1,310000,210000,110000,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26030430122410005,SO2603040011,2026-03-04,2026-03-04,INV2603040014,"202512251",Sss mobile,"3012241",Charles Leclerc,"10000",PT. Jengky Indonesia,FF-0101-0004,Cavendish C3,CRT/12,CRT/1,PNCH/1,310000,210000,110000,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
PO26031230122410001,SO2603120001,2026-03-12,,,B000010,BOEDY 10,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0017,Action Figure Thanos Ungu,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,11.0,0.0,0.0,0.0000,0.0000,2420000.0000,22000000,22000000
,SO2603040012,2026-03-04,,,"20004",WARTEG SLAWI,"2025120201",Ilham Abdullah,YP001,PT YUPI INDONESIA,YP5218,YUPI ROLETTO BOX 12X24X6GR,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,23000.0000,2.0,0.0,0.0,0.0000,0.0000,16500.0000,150000.0,150000.0
PO26031230122410001,SO2603120002,2026-03-12,2026-03-12,INV2603120004,"09845",Toko Abadi Membumi,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0017,Action Figure Thanos Ungu,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,10.0,0.0,0.0,0.0000,0.0000,2200000.0000,20000000,20000000
PO26030430122410001,SO2603040013,2026-03-04,2026-03-04,INV2603040015,"09845",Toko Abadi Membumi,"3012241",Charles Leclerc,"02001",PT URC,"02006",DYNAMITE ORANGE 3.5G,KRT/20,KRT/1,PCS/1,83500,83500,4175,0.0000,0.0000,0.0000,1.0,0.0,0.0,0.0000,0.0000,0.0000,0.0,0.0
,SO2603120005,2026-03-12,,,"20004",WARTEG SLAWI,BDG001,Nyeck Nyobe,YP001,PT YUPI INDONESIA,YP5219,YP513 YUPI MINI BURGER,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,65000.0000,1.0,0.0,1.0,0.0000,0.0000,15400.0000,140000.0,140000.0
,SO2603040014,2026-03-04,,,"15620",TOKO MADURA,"2025120201",Ilham Abdullah,YP001,PT YUPI INDONESIA,YP5218,YUPI ROLETTO BOX 12X24X6GR,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,23000.0000,2.0,0.0,0.0,0.0000,0.0000,16500.0000,150000.0,150000.0
PO26031230122410001,SO2603120003,2026-03-12,2026-03-12,INV2603120005,B000003,BOEDY 3,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0017,Action Figure Thanos Ungu,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,5.0,0.0,0.0,0,0.0000,1100000.0000,10000000,10000000
PO26031230122410001,SO2603120003,2026-03-12,2026-03-12,INV2603120005,B000003,BOEDY 3,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0023,Action Figure Groot,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,6.0,0.0,0.0,2000000.0000,0.0000,1100000.0000,12000000,10000000
PO26031230122410001,SO2603120003,2026-03-12,2026-03-12,INV2603120005,B000003,BOEDY 3,"3012241",Charles Leclerc,MT001,Mainan Toys,AF-0023,Action Figure Groot,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,1.0,0.0,0.0,2000000.0000,0.0000,0.0000,2000000.0,0.0
,SO2603010001,2026-03-01,,,AQWE232323,Pancoran 1,"2025120201",Ilham Abdullah,YP001,PT YUPI INDONESIA,YP5218,YUPI ROLETTO BOX 12X24X6GR,KRT/50,KRT/1,KLG/1,75000,800000,23000,75000.0000,800000.0000,23000.0000,1.0,0.0,0.0,0.0000,0.0000,8250.0000,75000.0,75000.0
,SO2603120004,2026-03-12,,,"0019",Babeh TK,SLS01,Jeddy,MT001,Mainan Toys,AF-0017,Action Figure Thanos Ungu,CRT/10,CRT/1,PCS/1,2000000,2000000,200000,2000000.0000,2000000.0000,200000.0000,11.0,0.0,0.0,0,0.0000,2420000.0000,22000000,22000000
